20220420_CMX_NB_pollo_W16,20220420_CMX_NB_res_W16,20220420_CMX_NB_cerdo_W16,20220420_CMX_NB_pescadosymariscoscongelado_W16,20220420_CMX_NB_embutidos_W16
-267093.0,143154387.0,128486600.0,145249414.0,138093741.0
138093741.0,141839574.0,129283274.0,143959181.0,128193710.0
128193710.0,140317911.0,143043793.0,139408526.0,145210542.0
145210542.0,140942552.0,143154387.0,138114194.0,142486705.0
142486705.0,143029467.0,141839574.0,139308192.0,145343669.0
145343669.0,145376478.0,140317911.0,-267093.0,144755899.0
144755899.0,143602913.0,140942552.0,138093741.0,140410045.0
140410045.0,141640930.0,143029467.0,128193710.0,138747073.0
138747073.0,-269084.0,145376478.0,145210542.0,143031494.0
143031494.0,143092967.0,143602913.0,142486705.0,128486600.0
128486600.0,140393704.0,141640930.0,145343669.0,129283274.0
139080909.0,143561961.0,143684834.0,144755899.0,139080909.0
143043793.0,139816171.0,-269084.0,140410045.0,143043793.0
143154387.0,145933548.0,143092967.0,138747073.0,143154387.0
141839574.0,143568110.0,140393704.0,143031494.0,141839574.0
140317911.0,140322031.0,143561961.0,128486600.0,140317911.0
140942552.0,143117552.0,139816171.0,129283274.0,140942552.0
143029467.0,146103537.0,145933548.0,143043793.0,143029467.0
145376478.0,142470387.0,143568110.0,143154387.0,145376478.0
133702879.0,136854770.0,140322031.0,141839574.0,133702879.0
143602913.0,141757686.0,141829360.0,140317911.0,143602913.0
141640930.0,138841336.0,143117552.0,140942552.0,141640930.0
143684834.0,142318841.0,146103537.0,143029467.0,143684834.0
-269084.0,132726008.0,142470387.0,145376478.0,-269084.0
143092967.0,146220285.0,136854770.0,133702879.0,143092967.0
140393704.0,125558014.0,141757686.0,143602913.0,140393704.0
143561961.0,142517507.0,138841336.0,141640930.0,143561961.0
139816171.0,141796612.0,142318841.0,143684834.0,139816171.0
145933548.0,146005251.0,132726008.0,-269084.0,145933548.0
143568110.0,142368011.0,146220285.0,143092967.0,143568110.0
141829360.0,142218510.0,125558014.0,140393704.0,140322031.0
143117552.0,15826190.0,142517507.0,143561961.0,143117552.0
146103537.0,142499090.0,141796612.0,139816171.0,146103537.0
142470387.0,143054099.0,146005251.0,145933548.0,142470387.0
136854770.0,128679187.0,142368011.0,143568110.0,136854770.0
141757686.0,144639253.0,142218510.0,140322031.0,141757686.0
138841336.0,140281110.0,15826190.0,141829360.0,138841336.0
142318841.0,140418329.0,142499090.0,143117552.0,142318841.0
132726008.0,140004637.0,143054099.0,146103537.0,132726008.0
146220285.0,140346658.0,128679187.0,142470387.0,146220285.0
125558014.0,133303590.0,144639253.0,136854770.0,125558014.0
142517507.0,142255400.0,140281110.0,141757686.0,142517507.0
141796612.0,139199788.0,140418329.0,138841336.0,141796612.0
146005251.0,145143086.0,140004637.0,142318841.0,146005251.0
142368011.0,140383535.0,143172894.0,132726008.0,142368011.0
142218510.0,141770031.0,140346658.0,146220285.0,142218510.0
15826190.0,145380658.0,139887906.0,125558014.0,15826190.0
142499090.0,143238458.0,133303590.0,142517507.0,142499090.0
143054099.0,141835579.0,142255400.0,141796612.0,143054099.0
128679187.0,140371260.0,140279082.0,146005251.0,128679187.0
144639253.0,143154493.0,139199788.0,142368011.0,144639253.0
140281110.0,138798398.0,145143086.0,142218510.0,140281110.0
140418329.0,142386498.0,140383535.0,15826190.0,140004637.0
