offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id,segment_behaviour,offer_type,supplier_discount
20240701_SPO_pratosrefeicoes_control_NB_condimentos_W27,pratosrefeicoes_control_NB_condimentos,1,true,01-01-2028,02-01-2028,1,1,779000,141889#141925#141916#592711#141928#631989#141931#141892#141933#278425#633119#141907#633621#320739#141935#632543,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_destilados_W27,pratosrefeicoes_control_NB_destilados,1,true,01-01-2028,02-01-2028,1,1,779004,576218#572851#572843#576210,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_embutidos_W27,pratosrefeicoes_control_NB_embutidos,1,true,01-01-2028,02-01-2028,1,1,778577,165988#165672#165346#586807#165678#217667#631911,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_docesesobremesas_W27,pratosrefeicoes_control_NB_docesesobremesas,1,true,01-01-2028,02-01-2028,1,1,778575,209377#209373#209381#173915,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_embalagens_W27,pratosrefeicoes_control_NB_embalagens,1,true,01-01-2028,02-01-2028,1,1,778576,648549,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_papeis_W27,pratosrefeicoes_control_NB_papeis,1,true,01-01-2028,02-01-2028,1,1,778589,240505#366139#418958#426339#648741#418946,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_queijos_W27,pratosrefeicoes_control_NB_queijos,1,true,01-01-2028,02-01-2028,1,1,778592,588033#648905#526878#606541#361775#513069#647815#306197,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_refrigeranteseenergeticos_W27,pratosrefeicoes_control_NB_refrigeranteseenergeticos,1,true,01-01-2028,02-01-2028,1,1,778593,363763#277873#363754#483012#277874#452047#452043#397295,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_manteigasemargarinas_W27,pratosrefeicoes_control_NB_manteigasemargarinas,1,true,01-01-2028,02-01-2028,1,1,778585,217679#217687#217691#217683,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_polpaseaai_W27,pratosrefeicoes_control_NB_polpaseaai,1,true,01-01-2028,02-01-2028,1,1,778591,512674#512660#512679#512666#512657,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_desengordurantes_W27,pratosrefeicoes_control_NB_desengordurantes,1,true,01-01-2028,02-01-2028,1,1,779002,240404,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_peixesefrutosdomar_W27,pratosrefeicoes_control_NB_peixesefrutosdomar,1,true,01-01-2028,02-01-2028,1,1,778590,647369#575792#648849,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_cervejas_W27,pratosrefeicoes_control_NB_cervejas,1,true,01-01-2028,02-01-2028,1,1,778999,363775#277871#284046#643321#364851#580894#363789,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_frutas_W27,pratosrefeicoes_control_NB_frutas,1,true,01-01-2028,02-01-2028,1,1,778579,-314629#581776#-314938#89339#75842#607838#98094#-314689#608540#112149#-314767#89349#163197#-314998#111250#106226,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_ovos_W27,pratosrefeicoes_control_NB_ovos,1,true,01-01-2028,02-01-2028,1,1,778588,651949,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_verduras_W27,pratosrefeicoes_control_NB_verduras,1,true,01-01-2028,02-01-2028,1,1,778600,608489#75297#608492#112182#608494#74194#626704#626705#74156#75087#608543#608495#608488#73648#608538#75002,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_legumes_W27,pratosrefeicoes_control_NB_legumes,1,true,01-01-2028,02-01-2028,1,1,778583,-314770#608497#97340#-314797#608542#97304#-314716#608491#106081#-314728#111235#106246#627381#-314734#626706#626838#-314692#626839#112220#-314857,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_utensiliosdelimpeza_W27,pratosrefeicoes_control_NB_utensiliosdelimpeza,1,true,01-01-2028,02-01-2028,1,1,778599,161239#613405#240413,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_conservaseenlatados_W27,pratosrefeicoes_control_NB_conservaseenlatados,1,true,01-01-2028,02-01-2028,1,1,779001,633619#633637#509501#633851#361028#236613#361016#414443#360992#361010,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_farinhasemisturas_W27,pratosrefeicoes_control_NB_farinhasemisturas,1,true,01-01-2028,02-01-2028,1,1,778578,116061#623198#108302#627434#612127#163389#638411#232189#612129#232192#652831#652315#73465#163392#623208#638611#638395,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_sucosechas_W27,pratosrefeicoes_control_NB_sucosechas,1,true,01-01-2028,02-01-2028,1,1,778594,397323#277880#277875#277876#283284#277861#277887#284041#277885#277857#277884#277858#277886#277883#486140,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_utensilios_W27,pratosrefeicoes_control_NB_utensilios,1,true,01-01-2028,02-01-2028,1,1,778598,351307,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_desinfetantesesanitizantes_W27,pratosrefeicoes_control_NB_desinfetantesesanitizantes,1,true,01-01-2028,02-01-2028,1,1,779003,240307#314595#240304#240410#351343#628490#628130#628128#314589,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_outroslimpadores_W27,pratosrefeicoes_control_NB_outroslimpadores,1,true,01-01-2028,02-01-2028,1,1,778587,240496#240484#613407,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_suinos_W27,pratosrefeicoes_control_NB_suinos,1,true,01-01-2028,02-01-2028,1,1,778595,202839#168290#164161#458143#631907,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_graos_W27,pratosrefeicoes_control_NB_graos,1,true,01-01-2028,02-01-2028,1,1,778581,153095#554479#554470,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_laticinios_W27,pratosrefeicoes_control_NB_laticinios,1,true,01-01-2028,02-01-2028,1,1,778582,124893#124405#124907#224175#124424#625793,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_leite_W27,pratosrefeicoes_control_NB_leite,1,true,01-01-2028,02-01-2028,1,1,778584,572871#616289,INCLUDED,SUPER_DISCOUNT,0
20240701_SPO_pratosrefeicoes_control_NB_tuberculos_W27,pratosrefeicoes_control_NB_tuberculos,1,true,01-01-2028,02-01-2028,1,1,778597,581787#-314737#581771#-314887#89305#608539#608490#73947#-314899#626842#626841#-314893,INCLUDED,SUPER_DISCOUNT,0
