20220422_CMX_NB_verduras_W16,20220422_CMX_NB_frutas_W16,20220422_CMX_NB_tuberculos_W16
122323389.0,15106417.0,57999924.0
110166468.0,121831799.0,17105472.0
86016456.0,107020665.0,-261566.0
23888329.0,73597305.0,109511247.0
47219154.0,58261884.0,102695505.0
57999828.0,78610812.0,-261547.0
75629015.0,84509054.0,65077847.0
74318296.0,91750792.0,97452631.0
71107033.0,-261750.0,143065688.0
41976286.0,78578059.0,61669983.0
89227744.0,75563413.0,63636071.0
61669858.0,57082263.0,124322421.0
121831910.0,58851738.0,-261514.0
118456809.0,118129050.0,131072639.0
100794859.0,128680348.0,-261501.0
95748588.0,142246301.0,134152835.0
132710893.0,30376349.0,38863492.0
22020601.0,59113890.0,63308422.0
62456313.0,98369955.0,19661447.0
107086336.0,101613989.0,139133573.0
143032840.0,48660902.0,49021580.0
60195344.0,60195240.0,60686989.0
39354897.0,-261716.0,54788749.0
57082386.0,132776364.0,52691597.0
58950165.0,108954028.0,15336081.0
140313112.0,79561144.0,134808209.0
109543962.0,37224891.0,146014867.0
39256606.0,122323389.0,35455634.0
16843294.0,110166468.0,-261478.0
121963040.0,86016456.0,74711715.0
66814499.0,23888329.0,127337126.0
45908518.0,47219154.0,-261465.0
38404653.0,57999828.0,91423402.0
13042223.0,75629015.0,67371695.0
45908530.0,74318296.0,19661490.0
17400370.0,71107033.0,116851381.0
70844980.0,117473754.0,145490619.0
57901620.0,41976286.0,107479740.0
124879420.0,66814430.0,15925955.0
65438273.0,119341538.0,20841166.0
143032900.0,61669858.0,-261422.0
81429061.0,132874723.0,23724756.0
86475338.0,121831910.0,22545112.0
-261555.0,118456809.0,-261416.0
102695505.0,53248492.0,58720984.0
-261547.0,95748588.0,112329434.0
65077847.0,132710893.0,-261412.0
97452631.0,74711537.0,127337186.0
143065688.0,62456313.0,41747176.0
112558683.0,-261635.0,81593067.0
61669983.0,107086336.0,103940845.0
51872357.0,143032840.0,40764141.0
63636071.0,80642572.0,-261391.0
17597036.0,60195344.0,103088881.0
60654188.0,39354897.0,136250099.0
124322421.0,57082386.0,41616116.0
101548668.0,58950165.0,18612984.0
131072639.0,140313112.0,17171194.0
134152835.0,109543962.0,-261381.0
38863492.0,39256606.0,-261376.0
139133573.0,16843294.0,89129729.0
63308422.0,121963040.0,46007043.0
19661447.0,66814499.0,134677253.0
73630339.0,45908518.0,-261368.0
49021580.0,139166248.0,56623881.0
54788749.0,63308329.0,35848971.0
52691597.0,38404653.0,140051221.0
134808209.0,13042223.0,41157398.0
35455634.0,17596977.0,120849181.0
146014867.0,45908530.0,118620958.0
123830932.0,17400370.0,19071778.0
129204884.0,70844980.0,-261337.0
-261478.0,57901620.0,113509167.0
54035105.0,124879420.0,145228592.0
74711715.0,132219456.0,126747444.0
127337126.0,65438273.0,50987830.0
118457005.0,143032900.0,50987833.0
122454702.0,117080646.0,55837504.0
67371695.0,-261555.0,20054849.0
19661490.0,-261547.0,20579140.0
116851381.0,65077847.0,53019461.0
145490619.0,143065688.0,95683399.0
54887099.0,130581090.0,17236810.0
104432324.0,63636071.0,-261295.0
146244300.0,17597036.0,46007123.0
20841166.0,60654188.0,39256920.0
84116177.0,124322421.0,42074971.0
139330258.0,101548668.0,17105756.0
73106130.0,131072639.0,-261279.0
23724756.0,134152835.0,49021796.0
58720984.0,38863492.0,142345063.0
-261412.0,139133573.0,129041255.0
91390687.0,63308422.0,22807402.0
40076001.0,19661447.0,71107437.0
