20220422_MDE_NB_verduras_W16,20220422_MDE_NB_frutas_W16,20220422_MDE_NB_tuberculos_W16,20220422_MDE_NB_contenedores_W16,20220422_MDE_NB_vasos_W16,20220422_MDE_NB_cubiertosypitillos_W16,20220422_MDE_NB_platosybandejas_W16,20220422_MDE_NB_empaqueyenvoltura_W16,20220422_MDE_NB_bolsas_W16,20220422_MDE_NB_bebidassinalcohol_W16,20220422_MDE_NB_huevos_W16,20220422_MDE_NB_leches_W16,20220422_MDE_NB_cremas_W16,20220422_MDE_NB_derivadoslacteos_W16
124309821.0,118438201.0,120762648.0,121213297.0,118546844.0,132759895.0,144355651.0,144355651.0,129130817.0,132694239.0,132039652.0,121213311.0,119583059.0,130879809.0
118399295.0,118520124.0,133560598.0,118899059.0,124440993.0,125014361.0,118964551.0,118964551.0,130879809.0,141684962.0,139789286.0,117969282.0,120127828.0,144355651.0
133232960.0,118399295.0,133986586.0,125907317.0,129507751.0,126042462.0,121291079.0,121291079.0,144355651.0,124852450.0,122438631.0,120136068.0,132759895.0,118964551.0
129130817.0,133232960.0,127822107.0,135967095.0,121921959.0,137150822.0,133960008.0,133960008.0,118964551.0,121192676.0,118522863.0,141611399.0,125014361.0,121291079.0
130879809.0,129130817.0,141607201.0,121225595.0,125895079.0,119697767.0,118063436.0,118063436.0,133960008.0,120764647.0,119768054.0,120865160.0,126042462.0,133960008.0
144355651.0,130879809.0,139823394.0,140882302.0,124416424.0,135164263.0,119583059.0,119583059.0,118063436.0,137570537.0,134521850.0,146629004.0,137150822.0,118063436.0
124852547.0,144355651.0,121852196.0,121213311.0,118026665.0,123093354.0,120127828.0,120127828.0,119583059.0,118431979.0,135259134.0,128655758.0,119697767.0,119583059.0
133960008.0,124852547.0,119601445.0,117969282.0,119591339.0,124465514.0,132759895.0,132759895.0,120127828.0,118530284.0,118416387.0,134066578.0,135164263.0,120127828.0
118063436.0,133960008.0,138754344.0,120136068.0,118911410.0,121213297.0,125014361.0,125014361.0,132759895.0,118460653.0,126018563.0,122098068.0,123093354.0,132759895.0
134695246.0,124389706.0,136087849.0,141611399.0,126673336.0,118899059.0,140308825.0,140308825.0,125014361.0,132260081.0,137110540.0,121323927.0,124465514.0,125014361.0
121268559.0,118063436.0,120623401.0,120865160.0,118534593.0,135967095.0,126042462.0,137150822.0,140308825.0,137183473.0,130851853.0,127271322.0,121213297.0,140308825.0
120056146.0,134695246.0,118434091.0,146629004.0,118555074.0,121225595.0,137150822.0,119697767.0,126042462.0,118950129.0,138134553.0,118546844.0,118899059.0,137150822.0
142993747.0,121268559.0,135270702.0,128655758.0,125538755.0,140882302.0,119697767.0,135164263.0,137150822.0,125470962.0,117998627.0,129507751.0,125907317.0,119697767.0
120127828.0,120056146.0,135295283.0,134066578.0,120648136.0,121213311.0,135164263.0,123093354.0,119697767.0,143509748.0,118416432.0,121921959.0,135967095.0,135164263.0
130894165.0,119583059.0,147548468.0,122098068.0,120574411.0,117969282.0,123093354.0,124465514.0,135164263.0,126800116.0,133522494.0,125895079.0,121225595.0,123093354.0
118090070.0,120127828.0,142455096.0,121323927.0,118391249.0,120136068.0,124465514.0,121213297.0,123093354.0,145217786.0,124355657.0,118026665.0,140882302.0,124465514.0
