20220420_CWB_NB_queijos_W16,20220420_CWB_NB_arroz_W16,20220420_CWB_NB_aucaradoantesedoces_W16,20220420_CWB_NB_farinhasemisturas_W16
143619221.0,130241874.0,132310359.0,132150502.0
115524760.0,118515027.0,136570199.0,120636649.0
143549593.0,132310359.0,142456155.0,123700462.0
127161497.0,136570199.0,128488799.0,124421364.0
143213723.0,142456155.0,109868397.0,111645940.0
116032673.0,142951774.0,111711601.0,118465783.0
143008932.0,128488799.0,136553847.0,110482682.0
145884325.0,109868397.0,128398713.0,137352446.0
140518567.0,139887990.0,143091069.0,139126017.0
117474472.0,136553847.0,139101573.0,127907073.0
121160873.0,128398713.0,134096262.0,132130052.0
130921643.0,143091069.0,109823370.0,115496203.0
127210672.0,134096262.0,132384140.0,134460688.0
141837490.0,109823370.0,135943565.0,135873809.0
143013042.0,132384140.0,110486926.0,133887253.0
124253363.0,135943565.0,127923604.0,113050902.0
141702324.0,110486926.0,124880282.0,139285785.0
123708602.0,135185811.0,143046042.0,145863964.0
145159354.0,127923604.0,141600156.0,129054000.0
127947966.0,124880282.0,139703711.0,138675506.0
125584575.0,143046042.0,138544547.0,124241209.0
125351108.0,141600156.0,139351461.0,124376377.0
139814088.0,139703711.0,116266406.0,137962812.0
115340492.0,138544547.0,134444457.0,127759682.0
117982422.0,139351461.0,134702510.0,121832771.0
142353627.0,116266406.0,123233715.0,138020170.0
136684765.0,134444457.0,117319102.0,130241874.0
132150502.0,134702510.0,117245381.0,118515027.0
120636649.0,123233715.0,139077062.0,132310359.0
123700462.0,117319102.0,137614792.0,136570199.0
131011826.0,117245381.0,139113936.0,142456155.0
124421364.0,115553737.0,110388691.0,142951774.0
111645940.0,139113936.0,141596119.0,128488799.0
118465783.0,110388691.0,126653912.0,109868397.0
110482682.0,141596119.0,127784409.0,111711601.0
137352446.0,126653912.0,110495203.0,139887990.0
139126017.0,127784409.0,135251428.0,136553847.0
127907073.0,139888091.0,124417509.0,128398713.0
132130052.0,132060636.0,112977382.0,143091069.0
115496203.0,110495203.0,138679786.0,139101573.0
115463439.0,135251428.0,143574507.0,134096262.0
134460688.0,124417509.0,130893297.0,109823370.0
133887253.0,112977382.0,145352179.0,135943565.0
113050902.0,130893297.0,131429877.0,110486926.0
139285785.0,145352179.0,139290102.0,127923604.0
145863964.0,139290102.0,127919612.0,120616344.0
129054000.0,127919612.0,121226748.0,143046042.0
138675506.0,115336703.0,115336703.0,141600156.0
124241209.0,132625921.0,132625921.0,139703711.0
124376377.0,109323778.0,109323778.0,138544547.0
137962812.0,118560258.0,118560258.0,139351461.0
127759682.0,116069891.0,116069891.0,116266406.0
121832771.0,127784454.0,127784454.0,134444457.0
138020170.0,145282567.0,145282567.0,134702510.0
130241874.0,142186005.0,134608405.0,123233715.0
118515027.0,119789079.0,142186005.0,117319102.0
132310359.0,138110488.0,119789079.0,117245381.0
136570199.0,133105180.0,133105180.0,139077062.0
142456155.0,141858336.0,128960029.0,137614792.0
142951774.0,132711972.0,141858336.0,115553737.0
128488799.0,138077732.0,132711972.0,110388691.0
109868397.0,109880871.0,138077732.0,141596119.0
139887990.0,138057262.0,109880871.0,126653912.0
136553847.0,112346681.0,135939633.0,127784409.0
128398713.0,127211071.0,127211071.0,139888091.0
143091069.0,138659395.0,138659395.0,132060636.0
139101573.0,121849413.0,121849413.0,110495203.0
134096262.0,130917967.0,130917967.0,124417509.0
109823370.0,135263824.0,134104660.0,112977382.0
135943565.0,134104660.0,138540631.0,138679786.0
110486926.0,143521370.0,143521370.0,143574507.0
135185811.0,140236381.0,122644071.0,130893297.0
127923604.0,122644071.0,128370283.0,145352179.0
120616344.0,145864304.0,145864304.0,131429877.0
124880282.0,128484978.0,128484978.0,139290102.0
143046042.0,139093622.0,139093622.0,127919612.0
141600156.0,120673915.0,120673915.0,121226748.0
139703711.0,110515836.0,110515836.0,115336703.0
138544547.0,135190144.0,135190144.0,132625921.0
139351461.0,109848195.0,109848195.0,109323778.0
116266406.0,138679939.0,110511749.0,118560258.0
134444457.0,110511749.0,128538249.0,116069891.0
134702510.0,128538249.0,111867534.0,127784454.0
123233715.0,111867534.0,146036368.0,145282567.0
117319102.0,136046223.0,134022803.0,134608405.0
134563264.0,136246929.0,127985304.0,119789079.0
117245381.0,134022803.0,139282074.0,138110488.0
139077062.0,127985304.0,121722527.0,133105180.0
137614792.0,139282074.0,127198882.0,141858336.0
115553737.0,121722527.0,117462694.0,132711972.0
139113936.0,139093664.0,138438311.0,138077732.0
110388691.0,127198882.0,144307886.0,109880871.0
141596119.0,138438311.0,114144950.0,135939633.0
126653912.0,144307886.0,145217212.0,112346681.0
127784409.0,134579889.0,134452929.0,127211071.0
139888091.0,138659511.0,138737347.0,138659395.0
132060636.0,134592185.0,117991109.0,121849413.0
