20220420_CWB_NB_tuberculos_W16,20220420_CWB_NB_verduras_W16,20220420_CWB_NB_frutas_W16,20220420_CWB_NB_legumes_W16,20220420_CWB_NB_leite_W16,20220420_CWB_NB_ovos_W16,20220420_CWB_NB_detergentesabaoelava-louas_W16,20220420_CWB_NB_feijao_W16
142369726.0,,,,142458494.0,142409291.0,142458494.0,139282074.0
139988927.0,,,,143663744.0,142254669.0,143663744.0,142226080.0
142985153.0,,,,142436993.0,143587921.0,142436993.0,139710112.0
124375494.0,,,,142970498.0,142217811.0,142970498.0,143511210.0
139664333.0,,,,143497862.0,141811284.0,143138435.0,141566636.0
145861073.0,,,,145205897.0,140352085.0,143497862.0,144307886.0
139662291.0,,,,146036368.0,143521370.0,146058901.0,142928579.0
142334933.0,,,,146058901.0,140236381.0,142410390.0,141601492.0
145095639.0,,,,142455448.0,143076968.0,142455448.0,140273364.0
143162328.0,,,,140389017.0,146219630.0,139282074.0,146053849.0
141596119.0,,,,145121946.0,145864304.0,140417693.0,142999265.0
143634391.0,,,,139282074.0,141875831.0,142226080.0,135195364.0
141646310.0,,,,140417693.0,135917175.0,139710112.0,142950118.0
145531367.0,,,,142226080.0,141667962.0,141566636.0,146068201.0
142242792.0,,,,139710112.0,141568635.0,144307886.0,146184938.0
143172584.0,,,,143511210.0,142458494.0,145217212.0,140373739.0
139657193.0,,,,141566636.0,143663744.0,141601492.0,139240180.0
143574507.0,,,,144307886.0,142436993.0,146053849.0,141744887.0
138523120.0,,,,145217212.0,142970498.0,142999265.0,142214907.0
145841650.0,,,,145128126.0,143138435.0,135195364.0,142379779.0
145352179.0,,,,142928579.0,143497862.0,142950118.0,142465796.0
140353524.0,,,,141601492.0,145205897.0,146068201.0,143083267.0
142940157.0,,,,140273364.0,146036368.0,146184938.0,145928966.0
,,,,142999265.0,146058901.0,139834092.0,142221064.0
,,,,135195364.0,142410390.0,145292019.0,138566415.0
,,,,142950118.0,142455448.0,139240180.0,140450576.0
,,,,146068201.0,140389017.0,143569652.0,145326863.0
,,,,146184938.0,145121946.0,141744887.0,141621010.0
,,,,139834092.0,139282074.0,141768449.0,140342043.0
,,,,145999601.0,140417693.0,142379779.0,141825825.0
,,,,145292019.0,142226080.0,143083267.0,140208931.0
,,,,139240180.0,139710112.0,145928966.0,142232356.0
,,,,143569652.0,143511210.0,142221064.0,142926629.0
,,,,141744887.0,141566636.0,138566415.0,136882990.0
,,,,142214907.0,144307886.0,145326863.0,145969966.0
,,,,141768449.0,145217212.0,141621010.0,139652915.0
,,,,143490817.0,145128126.0,140342043.0,141692732.0
,,,,142379779.0,142928579.0,139282205.0,143623996.0
,,,,142465796.0,141601492.0,141825825.0,145434429.0
,,,,143083267.0,140273364.0,140208931.0,135232323.0
,,,,145928966.0,146053849.0,142232356.0,142255941.0
,,,,142221064.0,142999265.0,136882990.0,145036103.0
,,,,138566415.0,135195364.0,145969966.0,135319368.0
,,,,140450576.0,142950118.0,134573871.0,141776713.0
,,,,141621010.0,146068201.0,143090481.0,140333911.0
,,,,141790998.0,146184938.0,139652915.0,145139543.0
,,,,140342043.0,139834092.0,141692732.0,141608793.0
,,,,139282205.0,145999601.0,143623996.0,139293537.0
,,,,141825825.0,145292019.0,135232323.0,145234786.0
,,,,140208931.0,139240180.0,145036103.0,139260779.0
,,,,142232356.0,143569652.0,141776713.0,141602676.0
,,,,142926629.0,141744887.0,140333911.0,142432120.0
,,,,136882990.0,142214907.0,145139543.0,140347262.0
,,,,145969966.0,141768449.0,141608793.0,140271495.0
,,,,143090481.0,143490817.0,145234786.0,141704072.0
,,,,139652915.0,142379779.0,139260779.0,145285002.0
,,,,141692732.0,142465796.0,145873774.0,132030348.0
,,,,143623996.0,143083267.0,141602676.0,143536015.0
,,,,145434429.0,145928966.0,142432120.0,142232465.0
,,,,135232323.0,138566415.0,140347262.0,143000472.0
,,,,142255941.0,140450576.0,141684609.0,124227481.0
,,,,145036103.0,145326863.0,140271495.0,139228061.0
,,,,135319368.0,141621010.0,141704072.0,137621405.0
,,,,141776713.0,141790998.0,145285002.0,135002017.0
,,,,140333911.0,140342043.0,140265355.0,143145895.0
,,,,141608793.0,141825825.0,132030348.0,142469033.0
,,,,139293537.0,140208931.0,143536015.0,143961002.0
,,,,139260779.0,142926629.0,142232465.0,141756331.0
,,,,145873774.0,136882990.0,143000472.0,143568815.0
,,,,141602676.0,145969966.0,140230552.0,145367985.0
,,,,142432120.0,134573871.0,137621405.0,142969778.0
,,,,140347262.0,143090481.0,135002017.0,143079346.0
,,,,141684609.0,139652915.0,142469033.0,143126457.0
,,,,140271495.0,141692732.0,143961002.0,142449595.0
,,,,141704072.0,143623996.0,141756331.0,141714364.0
,,,,140265355.0,145434429.0,140244910.0,142369726.0
,,,,132030348.0,135232323.0,143568815.0,143538110.0
,,,,143536015.0,145036103.0,145367985.0,141738944.0
,,,,142232465.0,135319368.0,143079346.0,139988927.0
,,,,124227481.0,141776713.0,142449595.0,142985153.0
,,,,139228061.0,140333911.0,141714364.0,139662291.0
,,,,137621405.0,145139543.0,142369726.0,143102931.0
,,,,135002017.0,141608793.0,141738944.0,142334933.0
,,,,142469033.0,139293537.0,139988927.0,145095639.0
,,,,143961002.0,145234786.0,139664333.0,143162328.0
,,,,141756331.0,139260779.0,139662291.0,141741020.0
,,,,140244910.0,145873774.0,143102931.0,143535069.0
,,,,143568815.0,141602676.0,142334933.0,142242792.0
,,,,145367985.0,140347262.0,145095639.0,143172584.0
,,,,143079346.0,141684609.0,143162328.0,143680489.0
,,,,142449595.0,140271495.0,143634391.0,139657193.0
,,,,141714364.0,141704072.0,140336090.0,140353524.0
,,,,142369726.0,145285002.0,141741020.0,142940157.0
,,,,143538110.0,140265355.0,143535069.0,
,,,,139664333.0,132030348.0,142242792.0,
,,,,139662291.0,143536015.0,143172584.0,
,,,,145095639.0,142232465.0,143680489.0,
,,,,143634391.0,143000472.0,139657193.0,
,,,,141741020.0,140230552.0,146062320.0,
,,,,143535069.0,124227481.0,140353524.0,
,,,,142242792.0,139228061.0,,
,,,,143172584.0,143184798.0,,
,,,,143598570.0,135002017.0,,
,,,,139657193.0,143145895.0,,
,,,,146062320.0,142469033.0,,
,,,,140353524.0,143961002.0,,
,,,,142940157.0,141756331.0,,
,,,,,140244910.0,,
,,,,,143568815.0,,
,,,,,145367985.0,,
,,,,,142969778.0,,
,,,,,143079346.0,,
,,,,,143126457.0,,
,,,,,142449595.0,,
,,,,,141714364.0,,
,,,,,143538110.0,,
,,,,,139988927.0,,
,,,,,142985153.0,,
,,,,,139664333.0,,
,,,,,139662291.0,,
,,,,,143102931.0,,
,,,,,142334933.0,,
,,,,,145095639.0,,
,,,,,143162328.0,,
,,,,,143634391.0,,
,,,,,140336090.0,,
,,,,,141741020.0,,
,,,,,143535069.0,,
,,,,,142242792.0,,
,,,,,143172584.0,,
,,,,,143598570.0,,
,,,,,143680489.0,,
,,,,,139657193.0,,
,,,,,146062320.0,,
,,,,,142940157.0,,
