20220325_CWB_NB_tuberculos_W12,20220325_CWB_NB_verduras_W12,20220325_CWB_NB_frutas_W12,20220325_CWB_NB_legumes_W12,20220325_CWB_NB_leite_W12,20220325_CWB_NB_ovos_W12,20220325_CWB_NB_detergentesabaoelava-louas_W12,20220325_CWB_NB_feijao_W12
112927409.0,115561090.0,118492437.0,127376173.0,127197833.0,127392202.0,130734658.0,116624029.0
115496957.0,124828296.0,113050902.0,125464879.0,116042380.0,109834702.0,111827523.0,118536868.0
113398462.0,127197833.0,125359897.0,125469491.0,111635086.0,125065679.0,131111497.0,112317093.0
111639237.0,116042380.0,117321498.0,116392758.0,109255323.0,128965077.0,116343370.0,121363108.0
128525004.0,111635086.0,112224027.0,124376377.0,117807772.0,112282078.0,117529165.0,112927409.0
113023700.0,109255323.0,124362526.0,117928251.0,116624029.0,116009439.0,124346961.0,115496957.0
121854679.0,117807772.0,123651877.0,111758140.0,117842592.0,124252640.0,126747225.0,116087483.0
124992221.0,116624029.0,117825832.0,127905598.0,123695792.0,124307935.0,117439070.0,113676988.0
117406431.0,116822686.0,110380840.0,118528322.0,115496957.0,116117986.0,113404514.0,111796925.0
109841138.0,117842592.0,110513450.0,125368643.0,113676988.0,114033125.0,124379747.0,113398462.0
115340022.0,121363108.0,127200045.0,121832771.0,111796925.0,116376038.0,127179372.0,118557388.0
125516547.0,112317093.0,127376173.0,131525955.0,113398462.0,114147816.0,112376431.0,128525004.0
124793608.0,115496957.0,125464879.0,127805251.0,111639237.0,117373418.0,111714928.0,126761679.0
124230409.0,113676988.0,123746096.0,110360903.0,110371528.0,128027115.0,117277300.0,121707218.0
112407307.0,113398462.0,113994548.0,123572552.0,118557388.0,125364718.0,123732596.0,128352978.0
114125583.0,118557388.0,116716343.0,116377929.0,127199949.0,118041074.0,124412541.0,113023700.0
124224284.0,128525004.0,128600887.0,114077508.0,115473103.0,118409721.0,112323200.0,121854679.0
110572318.0,115473103.0,123630394.0,118374218.0,126761679.0,109341181.0,116114050.0,109841138.0
127965988.0,126761679.0,117928251.0,126812496.0,128352978.0,113000968.0,115561090.0,115340022.0
114045741.0,128352978.0,111758140.0,121899345.0,113023700.0,113017352.0,127197833.0,111735559.0
127200045.0,113023700.0,118528322.0,130241874.0,121854679.0,123019786.0,111635086.0,124230409.0
127376173.0,121854679.0,125368643.0,113077081.0,117406431.0,124787213.0,121838224.0,112407307.0
