20220325_CWB_NB_bebidas,20220325_CWB_NB_laticinioseovos,20220325_CWB_NB_limpezaehigiene,20220325_CWB_NB_descartaveis
,109317532.0,109868397.0,113396816.0
,116266406.0,124210543.0,118371410.0
,130350514.0,111711601.0,113673300.0
,117319102.0,124255603.0,127290452.0
,117245381.0,124419447.0,116259926.0
,115553737.0,128398713.0,121119830.0
,116075980.0,124370302.0,123182166.0
,110388691.0,109823370.0,111627353.0
,110353876.0,127923604.0,125480031.0
,127784409.0,109317532.0,127937631.0
,132060636.0,120733096.0,123716705.0
,120708577.0,130350514.0,117965922.0
,110495203.0,123233715.0,109892709.0
,120630761.0,117319102.0,117820517.0
,125341165.0,115553737.0,117951597.0
,131429877.0,110388691.0,109290609.0
,124882427.0,110353876.0,120689777.0
,127919612.0,126653912.0,111721588.0
,110460412.0,112977382.0,123753595.0
,115336703.0,131429877.0,131982459.0
,109323778.0,124882427.0,115405960.0
,118560258.0,127919612.0,123200650.0
,127784454.0,115336703.0,114162828.0
,115502612.0,109323778.0,115524760.0
,110571031.0,116069891.0,127161497.0
,128960029.0,118560258.0,128973983.0
,116080163.0,110571031.0,116032673.0
,117440035.0,128960029.0,125496482.0
,112934437.0,116080163.0,127210672.0
,109880871.0,112934437.0,117402808.0
,118464040.0,109880871.0,117255355.0
,117993001.0,111844912.0,125351108.0
,111844912.0,127360574.0,126708937.0
,123264565.0,116530764.0,116100298.0
,127360574.0,120798818.0,115340492.0
,124206661.0,117395070.0,124234959.0
,116530764.0,128538249.0,117902546.0
,122644071.0,128384650.0,117982422.0
,110515836.0,111867534.0,117996759.0
,117395070.0,110587542.0,116554971.0
,110511749.0,127985304.0,127802587.0
,128384650.0,117370554.0,110513375.0
,111867534.0,117991109.0,111762656.0
,110587542.0,124319429.0,121277670.0
,121722527.0,109840071.0,120636649.0
,117462694.0,109301455.0,123700462.0
,117370554.0,128478929.0,111645940.0
,117991109.0,127340246.0,118465783.0
,109840071.0,121226972.0,110482682.0
,109301455.0,110491360.0,121748733.0
,128478929.0,113573607.0,121736445.0
,110491360.0,112815849.0,127907073.0
,113573607.0,116643563.0,115477762.0
,116643563.0,110538498.0,111619334.0
,112488190.0,115357443.0,109821203.0
,110538498.0,125388547.0,118492437.0
,112236290.0,116029189.0,113050902.0
,116029189.0,130369288.0,112799011.0
,130369288.0,111832842.0,125443369.0
,118466322.0,125351698.0,110513450.0
,121927442.0,113624854.0,129054000.0
,125351698.0,121863961.0,124241209.0
,113624854.0,117321498.0,124376377.0
,117233434.0,112224027.0,123198785.0
,112224027.0,117233434.0,131525955.0
,118495003.0,123651877.0,125373764.0
,124362526.0,116340519.0,128488799.0
,127375137.0,110380840.0,127221093.0
,123651877.0,116010794.0,109868397.0
,110380840.0,127905598.0,124255603.0
,116010794.0,127805251.0,124419447.0
,123746096.0,114077508.0,128398713.0
,117524281.0,127354692.0,124370302.0
,127905598.0,109256518.0,109823370.0
,115527487.0,118374218.0,110486926.0
,114077508.0,109817681.0,127923604.0
,118374218.0,115533662.0,120616344.0
,109817681.0,111753056.0,109317532.0
,117364561.0,132241249.0,116266406.0
,115533662.0,110530410.0,123233715.0
,120715102.0,117817194.0,117319102.0
,111753056.0,117915499.0,117245381.0
,132241249.0,128595818.0,130788806.0
,117817194.0,121147247.0,110388691.0
,117915499.0,130432879.0,110353876.0
,125423466.0,126623602.0,126653912.0
,130432879.0,112383859.0,127784409.0
,112383859.0,129101686.0,132060636.0
,129101686.0,110505848.0,110495203.0
,110505848.0,125519736.0,124417509.0
,127963007.0,127963007.0,112977382.0
,112363392.0,112363392.0,113642989.0
,123582337.0,112873352.0,125341165.0
,127944583.0,126074780.0,131429877.0
,112873352.0,127236002.0,124882427.0
,126074780.0,124360614.0,110460412.0
,123066271.0,125366183.0,115336703.0
,127236002.0,112306093.0,109323778.0
,124360614.0,128415663.0,116069891.0
,128415663.0,128403380.0,118560258.0
,128403380.0,123144125.0,121716238.0
,123144125.0,130357184.0,115502612.0
,130357184.0,127911874.0,110571031.0
,109266883.0,109266883.0,116080163.0
,115451876.0,123717573.0,117440035.0
,116551655.0,128374725.0,112934437.0
,131426301.0,124250061.0,109880871.0
,,117860309.0,118464040.0
,,115451876.0,117993001.0
,,116551655.0,111844912.0
,,131426301.0,127360574.0
,,,121849413.0
,,,124206661.0
,,,116530764.0
,,,127786575.0
,,,120798818.0
,,,109280871.0
,,,122644071.0
,,,115519093.0
,,,117395070.0
,,,109848195.0
,,,110511749.0
,,,111867534.0
,,,117462694.0
,,,117370554.0
,,,117991109.0
,,,124319429.0
,,,109840071.0
,,,121136839.0
,,,128478929.0
,,,121226972.0
,,,110491360.0
,,,113573607.0
,,,112488190.0
,,,110538498.0
,,,125388547.0
,,,116029189.0
,,,122652422.0
,,,130369288.0
,,,111832842.0
,,,125351698.0
,,,113624854.0
,,,117233434.0
,,,112224027.0
,,,118495003.0
,,,124362526.0
,,,123651877.0
,,,116340519.0
,,,110380840.0
,,,116010794.0
,,,123746096.0
,,,127905598.0
,,,127805251.0
,,,114077508.0
,,,123184965.0
,,,109256518.0
,,,118374218.0
,,,117364561.0
,,,115533662.0
,,,120715102.0
,,,111753056.0
,,,132241249.0
,,,127199077.0
,,,117817194.0
,,,117915499.0
,,,125423466.0
,,,121147247.0
,,,130432879.0
,,,126623602.0
,,,112383859.0
,,,110505848.0
,,,125519736.0
,,,127963007.0
,,,112363392.0
,,,123582337.0
,,,112873352.0
,,,126074780.0
,,,123066271.0
,,,112940962.0
,,,116428706.0
,,,124360614.0
,,,125366183.0
,,,112306093.0
,,,128415663.0
,,,111628211.0
,,,128403380.0
,,,123160506.0
,,,123144125.0
,,,127911874.0
,,,109266883.0
,,,123717573.0
,,,128374725.0
,,,124250061.0
,,,115451876.0
,,,116551655.0
,,,115496957.0
