20220407_MDE_NB_bebidassinalcohol_W14,20220407_MDE_NB_vasos_W14,20220407_MDE_NB_cubiertosypitillos_W14,20220407_MDE_NB_contenedores_W14,20220407_MDE_NB_platosybandejas_W14,20220407_MDE_NB_empaqueyenvoltura_W14,20220407_MDE_NB_verduras_W14,20220407_MDE_NB_frutas_W14,20220407_MDE_NB_tuberculos_W14,20220407_MDE_NB_huevos_W14,20220407_MDE_NB_leches_W14,20220407_MDE_NB_cremas_W14,20220407_MDE_NB_derivadoslacteos_W14
124852436.0,124801203.0,127922454.0,125014361.0,125530372.0,131571978.0,118026665.0,119601445.0,124393779.0,135065840.0,120623401.0,127922454.0,125530372.0
129087701.0,131012790.0,120795415.0,126042462.0,131571978.0,127922454.0,118389170.0,136087849.0,133232960.0,125470962.0,119742766.0,120795415.0,131571978.0
124946646.0,132135095.0,120762648.0,137150822.0,127922454.0,120795415.0,126794166.0,135270702.0,130879809.0,126800116.0,135270702.0,120762648.0,127922454.0
138004695.0,118415544.0,126791970.0,123093354.0,120795415.0,120762648.0,119667128.0,135295283.0,124852547.0,128536827.0,125522226.0,126791970.0,120795415.0
131012825.0,134510777.0,120623401.0,121213297.0,120762648.0,126791970.0,124598715.0,124393779.0,121268559.0,123891966.0,135295283.0,121852196.0,120762648.0
129005786.0,124442812.0,119742766.0,118899059.0,126791970.0,121852196.0,129577415.0,124309821.0,120056146.0,120230144.0,120893752.0,120623401.0,126791970.0
126769373.0,121827517.0,135270702.0,125907317.0,121852196.0,120623401.0,120689099.0,118399295.0,120127828.0,132684036.0,124309821.0,119742766.0,121852196.0
129124574.0,138758334.0,125522226.0,135967095.0,120623401.0,119742766.0,118540751.0,124852547.0,130894165.0,120609034.0,118399295.0,135270702.0,120623401.0
132694239.0,117956799.0,135295283.0,121225595.0,119742766.0,135270702.0,127429072.0,133960008.0,118090070.0,118532366.0,129130817.0,125522226.0,119742766.0
130844896.0,120109245.0,120893752.0,121213311.0,135270702.0,125522226.0,138576339.0,134695246.0,125014361.0,120654100.0,130879809.0,135295283.0,135270702.0
124852450.0,119644356.0,124309821.0,117969282.0,125522226.0,135295283.0,118018520.0,121268559.0,123093354.0,117987604.0,118964551.0,120893752.0,125522226.0
120955107.0,121159878.0,118399295.0,120136068.0,135295283.0,120893752.0,138619354.0,120056146.0,135973230.0,127922454.0,133960008.0,124309821.0,135295283.0
120764647.0,134140103.0,129130817.0,124371335.0,120893752.0,124309821.0,120117748.0,119583059.0,120121718.0,120795415.0,119583059.0,118399295.0,120893752.0
137570537.0,128970955.0,130879809.0,128655758.0,124309821.0,118399295.0,120238582.0,120127828.0,135967095.0,120762648.0,120127828.0,129130817.0,124309821.0
132260081.0,133654733.0,118964551.0,134066578.0,118399295.0,129130817.0,120273406.0,128739671.0,121225595.0,133560598.0,125014361.0,130879809.0,118399295.0
125470962.0,122407119.0,133960008.0,122098068.0,129130817.0,121291079.0,120236546.0,125014361.0,122354046.0,133986586.0,126042462.0,121291079.0,129130817.0
123891966.0,118028496.0,119583059.0,121323927.0,130879809.0,118964551.0,119656964.0,137150822.0,139147649.0,124856608.0,137150822.0,118964551.0,130879809.0
120230144.0,124852436.0,120127828.0,127271322.0,121291079.0,133960008.0,133251600.0,135248231.0,128051586.0,121852196.0,123093354.0,133960008.0,121291079.0
125530372.0,129087701.0,125014361.0,128610723.0,118964551.0,119583059.0,129479185.0,124465514.0,121248138.0,120623401.0,124465514.0,119583059.0,118964551.0
132684036.0,124946646.0,126042462.0,136769956.0,133960008.0,120127828.0,130857501.0,135973230.0,129489290.0,135270702.0,121213297.0,120127828.0,133960008.0
120121609.0,138004695.0,137150822.0,129507751.0,119583059.0,125014361.0,118413859.0,120121718.0,124438924.0,123345199.0,118899059.0,125014361.0,119583059.0
120609034.0,138594520.0,135164263.0,121921959.0,120127828.0,137150822.0,126761510.0,135967095.0,134066578.0,135295283.0,135967095.0,126042462.0,120127828.0
120654100.0,129005786.0,123093354.0,125895079.0,125014361.0,135164263.0,125549099.0,122354046.0,121323927.0,118399295.0,121225595.0,137150822.0,125014361.0
117987604.0,120133851.0,124465514.0,118026665.0,126042462.0,123093354.0,120230445.0,121213311.0,127271322.0,118950207.0,121213311.0,135164263.0,137150822.0
133560598.0,128461021.0,121213297.0,119591339.0,137150822.0,124465514.0,128010800.0,139147649.0,128625050.0,129130817.0,117969282.0,123093354.0,135164263.0
120795415.0,129124574.0,118899059.0,118911410.0,135164263.0,118899059.0,130765364.0,128051586.0,133147042.0,124852547.0,120136068.0,124465514.0,123093354.0
120762648.0,132694239.0,135967095.0,125530547.0,123093354.0,125907317.0,137085493.0,121248138.0,128610723.0,118053190.0,124371335.0,121213297.0,124465514.0
122312984.0,130844896.0,121225595.0,126673336.0,124465514.0,135967095.0,135236149.0,129489290.0,136769956.0,134695246.0,128655758.0,118899059.0,121213297.0
133986586.0,121239773.0,121213311.0,125538755.0,121213297.0,121225595.0,123234873.0,124438924.0,129507751.0,121268559.0,134066578.0,125907317.0,118899059.0
127822107.0,126769373.0,117969282.0,129577415.0,118899059.0,121213311.0,117328442.0,134066578.0,125895079.0,120056146.0,122098068.0,135967095.0,125907317.0
126791970.0,120955107.0,120136068.0,120648136.0,135967095.0,117969282.0,125434427.0,127271322.0,124416424.0,118090070.0,127271322.0,121225595.0,135967095.0
129521954.0,124852450.0,124371335.0,120689099.0,121225595.0,120136068.0,138140224.0,133147042.0,120281518.0,124475735.0,124440993.0,121213311.0,121225595.0
118032677.0,120764647.0,128655758.0,118391249.0,121213311.0,128655758.0,132088385.0,128610723.0,118036913.0,125014361.0,129507751.0,117969282.0,121213311.0
134093096.0,137570537.0,134066578.0,138576339.0,117969282.0,134066578.0,126702145.0,125895079.0,125393330.0,137150822.0,121921959.0,120136068.0,117969282.0
136087849.0,120621293.0,122098068.0,118018520.0,120136068.0,122098068.0,129014337.0,118026665.0,118389170.0,135164263.0,125895079.0,124371335.0,120136068.0
120623401.0,132260081.0,121323927.0,130986462.0,124371335.0,121323927.0,119601734.0,120281518.0,126794166.0,123093354.0,118026665.0,128655758.0,124371335.0
135295283.0,125470962.0,127271322.0,132108771.0,128655758.0,127271322.0,124912203.0,125393330.0,126673336.0,124465514.0,119591339.0,134066578.0,128655758.0
120893752.0,126800116.0,124440993.0,120238582.0,134066578.0,124440993.0,137122379.0,125530547.0,119667128.0,135973230.0,118911410.0,121323927.0,134066578.0
124309821.0,128536827.0,128610723.0,128619005.0,122098068.0,128610723.0,139096657.0,118389170.0,124598715.0,120121718.0,125530547.0,127271322.0,122098068.0
118399295.0,123891966.0,136769956.0,137159166.0,121323927.0,136769956.0,139137618.0,126794166.0,129577415.0,121225595.0,126673336.0,124440993.0,121323927.0
133232960.0,120230144.0,129507751.0,132325887.0,127271322.0,129507751.0,119681619.0,126673336.0,120648136.0,122354046.0,125538755.0,128610723.0,127271322.0
129130817.0,124940547.0,121921959.0,124432894.0,124440993.0,121921959.0,125575765.0,124598715.0,120574411.0,121213311.0,129577415.0,136769956.0,124440993.0
130879809.0,119660804.0,125895079.0,118018561.0,128610723.0,125895079.0,130976343.0,128006596.0,120689099.0,139147649.0,120648136.0,129507751.0,128610723.0
124852547.0,117981445.0,124416424.0,119656964.0,136769956.0,124416424.0,118491746.0,129577415.0,135043534.0,120136068.0,120574411.0,121921959.0,136769956.0
118964551.0,125530372.0,118026665.0,134066698.0,129507751.0,118026665.0,119620209.0,120648136.0,118540751.0,121248138.0,120689099.0,125895079.0,129507751.0
133960008.0,120121609.0,119591339.0,133251600.0,121921959.0,119591339.0,118004341.0,135043534.0,127429072.0,129489290.0,118391249.0,124416424.0,121921959.0
134695246.0,120609034.0,118911410.0,129479185.0,125895079.0,118911410.0,121229942.0,118540751.0,138576339.0,124438924.0,138576339.0,118026665.0,125895079.0
121268559.0,118503696.0,125530547.0,131592723.0,118026665.0,125530547.0,117963381.0,127429072.0,130869724.0,128655758.0,118018520.0,119591339.0,124416424.0
120056146.0,120654100.0,126673336.0,137171480.0,119591339.0,126673336.0,122038905.0,118391249.0,130986462.0,134066578.0,130986462.0,118911410.0,118026665.0
119583059.0,117987604.0,125538755.0,132272667.0,118911410.0,125538755.0,117987963.0,138576339.0,119687649.0,121323927.0,132108771.0,125530547.0,119591339.0
