20220325_BOG_NB_pollo_W12,20220325_BOG_NB_res_W12,20220325_BOG_NB_cerdo_W12,20220325_BOG_NB_pescadosymariscoscongelado_W12,20220325_BOG_NB_embutidos_W12
132121108.0,110461410.0,14402063.0,15958504.0,-245293.0
128991764.0,-245278.0,132121108.0,104432105.0,32506329.0
16155158.0,15385058.0,128991764.0,56181231.0,113557979.0
-212458.0,16499170.0,16155158.0,43598319.0,18055645.0
32604697.0,15958504.0,-212458.0,-245264.0,110461410.0
125895195.0,56181231.0,32604697.0,123208178.0,-245278.0
118161959.0,43598319.0,125895195.0,-228876.0,15385058.0
98370090.0,-245264.0,16892447.0,117850614.0,16499170.0
103662126.0,123208178.0,118161959.0,16155127.0,15958504.0
90915394.0,-228876.0,98370090.0,-212479.0,56181231.0
124273218.0,117850614.0,103662126.0,30458370.0,43598319.0
16745039.0,16155127.0,19350068.0,113656321.0,-245264.0
118915667.0,-245254.0,90915394.0,120668674.0,123208178.0
94896726.0,-212479.0,124273218.0,132071942.0,-228876.0
130925148.0,30458370.0,31130180.0,121389575.0,117850614.0
81904221.0,113656321.0,15565391.0,23609866.0,16155127.0
35865205.0,120668674.0,16745039.0,125911563.0,-245254.0
108937845.0,132071942.0,129073743.0,14402063.0,-212479.0
-245122.0,121389575.0,118915667.0,132121108.0,30458370.0
-228735.0,125911563.0,94896726.0,128991764.0,113656321.0
34194056.0,14402063.0,81904221.0,16155158.0,120668674.0
-212339.0,132121108.0,35865205.0,-212458.0,132071942.0
21496467.0,128991764.0,108937845.0,32604697.0,121389575.0
118063764.0,16155158.0,126812795.0,125895195.0,23609866.0
-245093.0,-212458.0,-245122.0,16892447.0,125911563.0
-245063.0,16892447.0,-228735.0,15958567.0,14402063.0
130974398.0,118161959.0,34194056.0,118161959.0,132121108.0
116196035.0,98370090.0,-212339.0,37470760.0,128991764.0
41861829.0,103662126.0,130974398.0,98370090.0,16155158.0
105906886.0,19350068.0,116196035.0,15565357.0,-212458.0
104022725.0,90915394.0,41861829.0,103662126.0,32604697.0
-245049.0,124273218.0,105906886.0,19350068.0,125895195.0
128975566.0,31130180.0,16024263.0,90915394.0,16892447.0
-245038.0,15565391.0,104022725.0,124273218.0,15958567.0
115557074.0,16745039.0,-245049.0,31130180.0,118161959.0
22414036.0,129073743.0,128975566.0,126845517.0,98370090.0
117506777.0,118915667.0,-245038.0,15565391.0,98419241.0
131564251.0,94896726.0,115557074.0,16745039.0,15565357.0
39846622.0,130925148.0,22414036.0,129073743.0,103662126.0
15712991.0,20480605.0,117506777.0,118915667.0,115442224.0
15270626.0,81904221.0,131564251.0,94896726.0,19350068.0
107528938.0,94995048.0,39846622.0,130925148.0,90915394.0
41140973.0,35865205.0,15712991.0,81904221.0,124273218.0
16351996.0,126812795.0,15270626.0,94995048.0,31130180.0
131449598.0,-245122.0,107528938.0,35865205.0,126845517.0
98632452.0,-228735.0,41140973.0,108937845.0,15565391.0
32408327.0,34194056.0,16351996.0,126812795.0,16745039.0
124437255.0,-212339.0,131449598.0,-245122.0,118915667.0
110445322.0,21496467.0,39486210.0,-228735.0,94896726.0
32752403.0,118063764.0,98632452.0,34194056.0,130925148.0
42599188.0,-245063.0,32408327.0,-212339.0,20480605.0
4178710.0,130974398.0,124437255.0,21496467.0,81904221.0
20415261.0,116196035.0,110445322.0,118063764.0,94995048.0
44663582.0,41861829.0,32752403.0,-245093.0,35865205.0
40764198.0,105906886.0,4178710.0,-245063.0,108937845.0
132088616.0,16024263.0,123388694.0,130974398.0,126812795.0
-244946.0,104022725.0,20415261.0,116196035.0,-245122.0
100860729.0,-245049.0,40764198.0,41861829.0,-228735.0
108544824.0,128975566.0,132088616.0,105906886.0,34194056.0
48563023.0,-245038.0,-244946.0,16024263.0,-212339.0
-228519.0,115557074.0,100860729.0,104022725.0,21496467.0
127271772.0,22414036.0,108544824.0,-245049.0,118063764.0
105628511.0,117506777.0,44368702.0,128975566.0,-245093.0
23102304.0,131564251.0,-228519.0,-245038.0,38077094.0
24757090.0,39846622.0,127271772.0,115557074.0,-245063.0
102564707.0,15712991.0,105628511.0,22414036.0,116196035.0
45351784.0,15270626.0,23102304.0,117506777.0,41861829.0
16925545.0,44581610.0,120374111.0,131564251.0,105906886.0
99124077.0,107528938.0,24757090.0,39846622.0,16024263.0
-244884.0,41140973.0,102564707.0,15712991.0,104022725.0
107053944.0,16351996.0,45351784.0,15270626.0,-245049.0
131679105.0,131449598.0,16925545.0,44581610.0,128975566.0
24740738.0,39486210.0,39355244.0,107528938.0,-245038.0
118080390.0,98632452.0,99124077.0,41140973.0,115557074.0
50660231.0,32408327.0,-244884.0,16351996.0,22414036.0
39355272.0,124437255.0,102007664.0,131449598.0,117506777.0
23659399.0,110445322.0,107053944.0,39486210.0,131564251.0
116769675.0,32752403.0,57574267.0,98632452.0,-245027.0
7832462.0,4178710.0,131679105.0,32408327.0,39846622.0
14877589.0,123388694.0,118080390.0,124437255.0,15712991.0
29213599.0,20415261.0,50660231.0,110445322.0,44581610.0
41829286.0,44663582.0,39355272.0,32752403.0,107528938.0
101188521.0,40764198.0,23659399.0,42599188.0,41140973.0
-244819.0,132088616.0,116769675.0,4178710.0,15827695.0
120701871.0,-244946.0,7832462.0,123388694.0,16351996.0
32326582.0,106562357.0,14877589.0,91718426.0,131449598.0
22184889.0,108544824.0,29213599.0,20415261.0,39486210.0
-228416.0,44368702.0,41829286.0,44663582.0,98632452.0
130548677.0,-228519.0,101188521.0,40764198.0,32408327.0
39928773.0,127271772.0,-244819.0,132088616.0,110445322.0
127255498.0,105628511.0,120701871.0,-244946.0,32752403.0
14484429.0,23102304.0,32326582.0,106562357.0,42599188.0
128156622.0,120374111.0,22184889.0,100860729.0,4178710.0
76334045.0,24757090.0,-228416.0,108544824.0,123388694.0
104088544.0,102564707.0,39928773.0,44368702.0,91718426.0
-244759.0,129663847.0,127222726.0,48563023.0,20415261.0
-244753.0,16925545.0,127255498.0,-228519.0,44663582.0
121226226.0,39355244.0,14484429.0,127271772.0,40764198.0
115344374.0,99124077.0,128156622.0,105628511.0,132088616.0
15549431.0,-244884.0,42173402.0,23102304.0,-244946.0
-228360.0,102007664.0,76334045.0,120374111.0,106562357.0
-244744.0,107053944.0,104088544.0,24757090.0,107856696.0
-244739.0,57574267.0,21693416.0,102564707.0,100860729.0
103072769.0,131679105.0,-244759.0,129663847.0,108544824.0
120259589.0,118080390.0,-244753.0,45351784.0,44368702.0
113001493.0,50660231.0,115344374.0,16843625.0,48563023.0
16745494.0,39355272.0,15549431.0,16925545.0,-228519.0
103007256.0,23659399.0,-228360.0,39355244.0,127271772.0
41600028.0,116769675.0,-244744.0,99124077.0,105628511.0
-244707.0,7832462.0,-244739.0,-244884.0,23102304.0
17695791.0,14877589.0,120259589.0,102007664.0,120374111.0
123765808.0,29213599.0,77825035.0,107053944.0,24757090.0
6210608.0,101188521.0,-244725.0,18793344.0,102564707.0
47301680.0,-244819.0,113001493.0,131679105.0,129663847.0
-211920.0,120701871.0,16745494.0,24740738.0,45351784.0
19186739.0,32326582.0,103007256.0,118080390.0,16843625.0
16483387.0,22184889.0,41600028.0,50660231.0,16925545.0
17466436.0,-228416.0,-244707.0,39355272.0,39355244.0
120751175.0,130548677.0,17695791.0,23659399.0,99124077.0
129500244.0,39928773.0,123765808.0,41583498.0,-244884.0
110445653.0,127222726.0,6210608.0,116769675.0,12288880.0
-244647.0,127255498.0,-211920.0,7832462.0,102007664.0
35652698.0,32506828.0,19186739.0,14877589.0,107053944.0
-244646.0,14484429.0,106939449.0,15680405.0,57574267.0
-244638.0,128156622.0,16483387.0,29213599.0,18793344.0
-228244.0,42173402.0,105432129.0,101188521.0,131679105.0
116393080.0,76334045.0,17466436.0,-244819.0,24740738.0
116769914.0,104088544.0,120751175.0,120701871.0,118080390.0
94930050.0,21693416.0,17466440.0,32326582.0,50660231.0
42796162.0,-244759.0,129500244.0,22184889.0,39355272.0
102810754.0,-244753.0,110445653.0,-228416.0,23659399.0
12207240.0,121226226.0,-244647.0,39928773.0,116769675.0
-228214.0,115344374.0,35652698.0,127222726.0,7832462.0
93815971.0,15549431.0,131515483.0,127255498.0,14877589.0
103171236.0,-228360.0,-244638.0,32506828.0,15680405.0
126665899.0,-244744.0,-228244.0,14484429.0,29213599.0
56394925.0,-244739.0,116393080.0,128156622.0,41829286.0
108430517.0,103072769.0,116769914.0,42173402.0,101188521.0
88343737.0,120259589.0,94930050.0,-212004.0,-244819.0
127960254.0,77825035.0,42796162.0,76334045.0,120701871.0
19776702.0,-244725.0,102810754.0,104088544.0,32326582.0
-211773.0,113001493.0,127878277.0,21693416.0,22184889.0
-228155.0,16745494.0,12207240.0,-244759.0,-228416.0
40895686.0,103007256.0,-228214.0,-244753.0,130548677.0
-228151.0,41600028.0,93815971.0,121226226.0,39928773.0
7439567.0,-244707.0,103171236.0,115344374.0,127222726.0
18629842.0,17695791.0,126665899.0,15549431.0,32506828.0
16467156.0,123765808.0,56394925.0,-228360.0,14484429.0
103826646.0,6210608.0,108430517.0,-244744.0,128156622.0
114656477.0,-211920.0,88343737.0,-244739.0,42173402.0
-244514.0,106939449.0,127960254.0,103072769.0,-212004.0
106874078.0,16483387.0,19776702.0,120259589.0,76334045.0
-244512.0,105432129.0,-228155.0,120194058.0,104088544.0
55575777.0,17466436.0,40895686.0,-244725.0,-211996.0
110642408.0,120751175.0,-228151.0,113001493.0,21693416.0
15811822.0,17466440.0,-244533.0,16745494.0,-244759.0
16352506.0,129500244.0,69665998.0,103007256.0,-244753.0
-211716.0,110445653.0,7439567.0,41600028.0,121226226.0
45532413.0,-244647.0,16467156.0,-244707.0,115344374.0
16352511.0,35652698.0,114656477.0,15926318.0,15549431.0
12961026.0,-244646.0,-244514.0,17695791.0,-228360.0
62604557.0,131515483.0,106874078.0,123765808.0,-244744.0
-244465.0,-244638.0,-244512.0,6210608.0,-244739.0
-211695.0,-228244.0,55575777.0,47301680.0,103072769.0
104793365.0,116393080.0,117359844.0,-211920.0,120259589.0
130221343.0,116769914.0,16352506.0,106939449.0,120194058.0
76449060.0,94930050.0,-211716.0,16483387.0,77825035.0
-244444.0,42796162.0,45532413.0,105432129.0,-244725.0
-211674.0,102810754.0,16352511.0,17466436.0,113001493.0
19350824.0,127878277.0,12961026.0,120751175.0,16745494.0
16319796.0,12207240.0,-228086.0,17466440.0,103007256.0
127829308.0,-228214.0,62604557.0,129500244.0,41600028.0
90260796.0,15189142.0,-244465.0,110445653.0,-244707.0
123258174.0,93815971.0,-211695.0,-244647.0,15926318.0
36701503.0,103171236.0,118015251.0,35652698.0,17695791.0
128157015.0,56394925.0,104793365.0,-244646.0,123765808.0
16450907.0,108430517.0,19776798.0,131515483.0,6210608.0
17679708.0,88343737.0,130221343.0,-211874.0,47301680.0
15467870.0,127960254.0,76449060.0,-244638.0,-211920.0
117572959.0,19776702.0,-244444.0,-228244.0,19186739.0
-244387.0,-211773.0,-211674.0,116393080.0,106939449.0
120145245.0,-228155.0,19350824.0,116769914.0,16483387.0
