20220328_BOG_NB_tuberculos_W13,20220328_BOG_NB_verduras_W13,20220328_BOG_NB_frutas_W13,20220328_BOG_NB_huevos_W13,20220328_BOG_NB_aceitesygrasas_W13,20220328_BOG_NB_vasos_W13,20220328_BOG_NB_contenedores_W13,20220328_BOG_NB_papelytoallas_W13
104743258.0,30351616.0,108429504.0,38388046.0,-229207.0,15450493.0,-229194.0,19660992.0
125419866.0,-253692.0,19660992.0,18202959.0,18727082.0,39223682.0,15556791.0,-212797.0
131629410.0,31146250.0,20422849.0,115425615.0,100286634.0,-228984.0,15229111.0,26362052.0
121962863.0,47022348.0,131580097.0,120160593.0,96395432.0,16122250.0,18325692.0,16736453.0
-229005.0,-204530.0,-212797.0,104743258.0,54771886.0,125944206.0,17907900.0,35864778.0
15532408.0,112951570.0,26362052.0,125419866.0,-221007.0,16843153.0,23486652.0,-229173.0
116162940.0,104317205.0,16736453.0,42516831.0,56402097.0,109871505.0,108429504.0,15147212.0
18055549.0,16818456.0,131023049.0,131629410.0,74490036.0,44564882.0,131580097.0,111763666.0
54886782.0,126705948.0,132055242.0,121962863.0,-229194.0,-245355.0,26362052.0,119652566.0
15450493.0,81412386.0,35864778.0,-229005.0,120692921.0,17531289.0,16736453.0,15114458.0
39223682.0,16384291.0,131629260.0,15532408.0,18325692.0,126714266.0,132055242.0,17604826.0
-228984.0,35840291.0,-212789.0,18055549.0,95289533.0,15450527.0,35864778.0,90677468.0
16122250.0,16146723.0,111763666.0,54886782.0,17907900.0,88195488.0,15147212.0,-220963.0
125944206.0,80666918.0,76734675.0,15450493.0,23486652.0,32702897.0,111763666.0,19046620.0
110363023.0,121299238.0,119652566.0,39223682.0,19660992.0,53576120.0,76734675.0,106266848.0
16843153.0,127795506.0,15114458.0,-228984.0,131580097.0,120717756.0,119652566.0,-220958.0
109871505.0,15679800.0,90677468.0,16122250.0,-212797.0,131187134.0,15114458.0,33554659.0
44564882.0,16924985.0,19046620.0,125944206.0,26362052.0,122012107.0,17604826.0,42377445.0
17531289.0,126738752.0,120840417.0,110363023.0,16736453.0,18399692.0,90677468.0,15589606.0
126714266.0,43737410.0,-220958.0,16843153.0,131023049.0,112017870.0,-220963.0,119226599.0
88195488.0,7389507.0,33554659.0,109871505.0,132055242.0,-245293.0,19046620.0,132227304.0
24166831.0,106332485.0,42377445.0,44564882.0,-229173.0,18055645.0,106266848.0,53797097.0
32702897.0,114032968.0,15589606.0,-245355.0,131629260.0,110461410.0,120840417.0,-229142.0
53576120.0,-212663.0,119226599.0,17531289.0,15147212.0,-245278.0,-220958.0,-245526.0
120717756.0,38388046.0,132227304.0,88195488.0,35864778.0,15958504.0,33554659.0,-204563.0
131187134.0,18202959.0,53797097.0,24166831.0,-212789.0,43598319.0,42377445.0,42262767.0
122012107.0,55730520.0,-229142.0,32702897.0,111763666.0,-245264.0,114122981.0,102596850.0
18399692.0,97935711.0,-245526.0,120717756.0,76734675.0,123208178.0,119226599.0,48374004.0
112017870.0,75620704.0,129515757.0,131187134.0,119652566.0,-228876.0,15589606.0,111059189.0
17859025.0,131629410.0,-204563.0,122012107.0,15114458.0,117850614.0,53797097.0,125018359.0
-245293.0,-253595.0,42262767.0,18399692.0,17604826.0,16155127.0,-229142.0,9748730.0
113557979.0,132129125.0,102596850.0,112017870.0,90677468.0,-212479.0,115384555.0,46653693.0
18055645.0,-229005.0,44261619.0,17859025.0,19046620.0,30458370.0,-245526.0,30351616.0
110461410.0,15532408.0,30351616.0,-245293.0,106266848.0,113656321.0,129515757.0,-253692.0
15958504.0,19292539.0,133210369.0,32506329.0,-220958.0,132071942.0,-204563.0,47022348.0
56181231.0,18055549.0,-253692.0,113557979.0,33554659.0,121389575.0,42262767.0,-204530.0
-245264.0,54886782.0,31146250.0,18055645.0,42377445.0,23609866.0,102596850.0,-253679.0
123208178.0,107356543.0,112468238.0,110461410.0,15589606.0,125911563.0,48374004.0,112951570.0
-228876.0,15450493.0,-204530.0,-245278.0,119226599.0,132694538.0,111059189.0,104317205.0
117850614.0,16122250.0,130982160.0,15385058.0,132227304.0,14402063.0,125018359.0,16818456.0
-212479.0,15196559.0,112951570.0,16499170.0,-229142.0,-212458.0,46653693.0,-237288.0
30458370.0,16843153.0,104317205.0,15958504.0,115384555.0,32604697.0,30351616.0,38879515.0
113656321.0,44564882.0,16818456.0,56181231.0,-245526.0,15958567.0,133210369.0,81412386.0
132071942.0,49029526.0,126705948.0,43598319.0,-204563.0,118161959.0,-253692.0,16384291.0
