20220420_SPO_NB_frango_W16,20220420_SPO_NB_suinos_W16,20220420_SPO_NB_embutidos_W16,20220420_SPO_NB_carnevermelha_W16,20220420_SPO_NB_peixesefrutosdomar_W16
138142746.0,145859579.0,105899014.0,123655139.0,120669143.0
146039834.0,123864063.0,134837264.0,140231653.0,146039772.0
145118236.0,105899014.0,138269712.0,139211757.0,143553503.0
142976029.0,134837264.0,142406680.0,143533038.0,142423008.0
142349342.0,138269712.0,138142746.0,139322355.0,142373858.0
143717417.0,142406680.0,146039834.0,145859579.0,123655139.0
145994798.0,138142746.0,145118236.0,123864063.0,140231653.0
141694004.0,146039834.0,142976029.0,141321219.0,139211757.0
142402615.0,145118236.0,142349342.0,105899014.0,143533038.0
61940800.0,142976029.0,140964905.0,134837264.0,139322355.0
139809865.0,142349342.0,143717417.0,142406680.0,145859579.0
139314250.0,140964905.0,145994798.0,138142746.0,123864063.0
145142866.0,143717417.0,141694004.0,146039834.0,105899014.0
143606874.0,145130542.0,143553590.0,145118236.0,134837264.0
89998441.0,139932719.0,142402615.0,142976029.0,138269712.0
139318383.0,145994798.0,61940800.0,142349342.0,142406680.0
128517245.0,142402615.0,139809865.0,143717417.0,138142746.0
143062145.0,61940800.0,139314250.0,145130542.0,146039834.0
143598721.0,139809865.0,145142866.0,139932719.0,145118236.0
137127044.0,139314250.0,143606874.0,145994798.0,142976029.0
45606021.0,145142866.0,89998441.0,143553590.0,142349342.0
137327758.0,143606874.0,143639662.0,142402615.0,140964905.0
139695250.0,89998441.0,139318383.0,61940800.0,143717417.0
143144087.0,143639662.0,128517245.0,139809865.0,145130542.0
143103128.0,139318383.0,143062145.0,139314250.0,139932719.0
95696029.0,128517245.0,137127044.0,145142866.0,145994798.0
142468254.0,143062145.0,45606021.0,143606874.0,141694004.0
143000738.0,143598721.0,137327758.0,89998441.0,143553590.0
143615142.0,137127044.0,139695250.0,143639662.0,142402615.0
142242984.0,45606021.0,143144087.0,139318383.0,61940800.0
143479976.0,137327758.0,143103128.0,128517245.0,139809865.0
145122472.0,139695250.0,143144088.0,143062145.0,139314250.0
132142251.0,143144087.0,95696029.0,143598721.0,145142866.0
143623340.0,95696029.0,142386334.0,137127044.0,143606874.0
71050423.0,142386334.0,142468254.0,45606021.0,89998441.0
140268735.0,142468254.0,143000738.0,137327758.0,143639662.0
139850944.0,143000738.0,143615142.0,143144087.0,139318383.0
145306821.0,143615142.0,142242984.0,143103128.0,128517245.0
143000788.0,142242984.0,143479976.0,143144088.0,143062145.0
139822296.0,143479976.0,145122472.0,95696029.0,143598721.0
85935324.0,145122472.0,132142251.0,142386334.0,137127044.0
143987954.0,132142251.0,143623340.0,142468254.0,45606021.0
139822324.0,143623340.0,140268735.0,143000738.0,137327758.0
141731075.0,71050423.0,139850944.0,143615142.0,139695250.0
143942915.0,140268735.0,139822296.0,142242984.0,143144087.0
39834887.0,139850944.0,85935324.0,143479976.0,143103128.0
146183439.0,145306821.0,143987954.0,145122472.0,95696029.0
146154770.0,143000788.0,139822324.0,132142251.0,142386334.0
142996756.0,139822296.0,141731075.0,143623340.0,142468254.0
142357781.0,85935324.0,143942915.0,140268735.0,143000738.0
140301590.0,140879074.0,39834887.0,139850944.0,143615142.0
46339350.0,143987954.0,143480074.0,145306821.0,142242984.0
145831188.0,139822324.0,146183439.0,143000788.0,143479976.0
142218526.0,141731075.0,142996756.0,139822296.0,145122472.0
139760928.0,143942915.0,142357781.0,85935324.0,132142251.0
141612320.0,39834887.0,140301590.0,140879074.0,143623340.0
145265953.0,143480074.0,46339350.0,143987954.0,71050423.0
145990965.0,146183439.0,145831188.0,139822324.0,140268735.0
139818306.0,146154770.0,142218526.0,141731075.0,139850944.0
124781891.0,142996756.0,139760928.0,143942915.0,145306821.0
139236676.0,142357781.0,141612320.0,39834887.0,143000788.0
142263621.0,140301590.0,145265953.0,143480074.0,139822296.0
146117955.0,145831188.0,145990965.0,146183439.0,85935324.0
143549768.0,142218526.0,139818306.0,146154770.0,140879074.0
143103311.0,139760928.0,124781891.0,142996756.0,143987954.0
142202193.0,141612320.0,139236676.0,142357781.0,139822324.0
142951761.0,145265953.0,146117955.0,140301590.0,141731075.0
142222677.0,145990965.0,143549768.0,46339350.0,143942915.0
145290581.0,139818306.0,143103311.0,145831188.0,39834887.0
146154837.0,124781891.0,142202193.0,142218526.0,143480074.0
141583707.0,139236676.0,142951761.0,139760928.0,146183439.0
145245534.0,142263621.0,142222677.0,141612320.0,146154770.0
140240225.0,146117955.0,145290581.0,145265953.0,142996756.0
142325091.0,143549768.0,137569623.0,145990965.0,142357781.0
143578467.0,143103311.0,146154837.0,139818306.0,140301590.0
130966885.0,142202193.0,141583707.0,124781891.0,46339350.0
141825387.0,142951761.0,145245534.0,139236676.0,145831188.0
140219761.0,142222677.0,140240225.0,142263621.0,142218526.0
143000950.0,145290581.0,142325091.0,146117955.0,139760928.0
141788535.0,137569623.0,143578467.0,143549768.0,141612320.0
143631742.0,146154837.0,130966885.0,143103311.0,145265953.0
139097474.0,141583707.0,141825387.0,142202193.0,145990965.0
140277128.0,145245534.0,140219761.0,142951761.0,139818306.0
143017355.0,140240225.0,143000950.0,142222677.0,124781891.0
141813136.0,142325091.0,141788535.0,137569623.0,139236676.0
143656340.0,143578467.0,143631742.0,146154837.0,142263621.0
143119768.0,130966885.0,139097474.0,141583707.0,146117955.0
142939545.0,141825387.0,140277128.0,145245534.0,143549768.0
139314591.0,140219761.0,143017355.0,140240225.0,143103311.0
143009190.0,143000950.0,141813136.0,142325091.0,142202193.0
123274666.0,141788535.0,143656340.0,143578467.0,142951761.0
142427567.0,143631742.0,141731221.0,130966885.0,142222677.0
133518770.0,139097474.0,143119768.0,141825387.0,145290581.0
140264888.0,140277128.0,142939545.0,140219761.0,137569623.0
141710779.0,143017355.0,139314591.0,143000950.0,146154837.0
145307068.0,141813136.0,140350886.0,141788535.0,141583707.0
139245004.0,143656340.0,143009190.0,143631742.0,145245534.0
144729548.0,143119768.0,123274666.0,139097474.0,140240225.0
143906269.0,142939545.0,142427567.0,140277128.0,142325091.0
100402658.0,139314591.0,140264888.0,143017355.0,143578467.0
145987053.0,140350886.0,141710779.0,141813136.0,130966885.0
67810800.0,143009190.0,145307068.0,143656340.0,141825387.0
126948851.0,123274666.0,139245004.0,141731221.0,140219761.0
37455351.0,133518770.0,144729548.0,143119768.0,143000950.0
141919739.0,140264888.0,143906269.0,142939545.0,141788535.0
143570428.0,141710779.0,142972382.0,139314591.0,143631742.0
146175487.0,145307068.0,67810800.0,140350886.0,139097474.0
143046145.0,139245004.0,126948851.0,143009190.0,140277128.0
143631876.0,144729548.0,37455351.0,123274666.0,143017355.0
142214668.0,143906269.0,141919739.0,142427567.0,141813136.0
143013390.0,142972382.0,143570428.0,133518770.0,143656340.0
