microsegment,subcat,name,sku_ids
Lanches,Embutidos,"Salsicha Resfriada - SEARA  Pacote de 0.5kg - Mais de 10 pacotes (5kg), Salsicha Resfriada - SEARA  Pacote de 0.5kg - A partir de 2 pacotes (1kg)","165724, 165686"
Lanches,Frango,"Chickenitos Supreme - SEARA  Pacote de 2.5kg - Contém aprox. 119 unidades de 21g - 1 pacote (2.5kg), Chickenitos Supreme - SEARA  Pacote de 2.5kg - Contém aprox. 119 unidades de 21g - Mais de 5 pacotes (12.5kg)","166040, 166042, 166044"
Lanches,Frango,"Filé de Peito de Frango - Lar  Congelado - Pacote de 1kg - Mais de 10 pacotes (10kg), Filé de Peito de Frango - Lar  Congelado - Pacote de 1kg - A partir de 2 pacotes (2kg), Filé de Peito de Frango - Lar  Congelado - Pacote de 1kg - Mais de 5 pacotes (5kg)","284511, 284509, 284510"
Lanches,Frango,"Filé de Peito de Frango GD - Lar  Congelado - Pacote de 2kg - Mais de 6 pacotes (12kg), Filé de Peito de Frango GD - Lar  Congelado - Pacote de 2kg - Mais de 3 pacotes (6kg), Filé de Peito de Frango GD - Lar  Congelado - Pacote de 2kg - A partir de 1 pacote (2kg)","284507, 284506, 284505"
Lanches,Frango,"Filezinho de Frango Empanado 1.5kg - Canção  Pacote de 1.5kg - 1 pacote (1.5kg), Filezinho de Frango Empanado 1.5kg - Canção  Pacote de 1.5kg - Mais de 5 pacotes (7.5kg), Filezinho de Frango Empanado 1.5kg - Canção  Pacote de 1.5kg - Mais de 10 pacotes (15kg)","225201, 225202, 225203"
Lanches,Frango,"Sassami de Frango - Lar  Congelado - Pacote de 2kg - A partir de 1 pacote (2kg), Sassami de Frango - Lar  Congelado - Pacote de 2kg - Mais de 3 pacotes (6kg), Sassami de Frango - Lar  Congelado - Pacote de 2kg - Mais de 6 pacotes (12kg)","284513, 284514, 284515"
Lanches,Hortaliças,"Alface Americana  Padrão - Unidade, Alface Americana  Padrão - Unidade Atacado","112095, 73648"
Lanches,Legumes,"Alho  Padrão - Kg, Alho  Padrão - Caixa 10Kg","-314827, 89357"
Lanches,Legumes,"Alho Descascado Pacote 1 kg  Padrão - Unidade Atacado, Alho Descascado Pacote 1 kg  Padrão - Unidade","73947, 112115"
Lanches,Legumes,"Cebola Roxa  Padrão - Kg, Cebola Roxa  Padrão - Saco 20Kg","-314809, 89323"
Lanches,Legumes,"Pepino Comum  Padrão - Kg, Pepino Comum  Padrão - Kg Atacado","-314857, 112220"
Lanches,Legumes,"Tomate Carmem Graudo Verde  Verde - Caixa 18kg, Tomate Carmem Graudo Verde  Verde - Kg","-314611, 97388"
Lanches,Massas e Molhos,Molho de Tomate Hot Dog Predilecta 2Kg  Sachê de 2Kg - Unidade,168642
Lanches,Massas e Molhos,Molho de Tomate Pronto sabor Pizza Salsaretti 340g  340g - Unidade,168216
Lanches,Massas e Molhos,Tomate Pelado Sacciali Lata 400g  Lata de 400g - Unidade,168058
Lanches,Ovos,"Caixa de Ovos Brancos Grandes Katayama  Caixa com 15 dúzias - Unidade, Caixa de Ovos Brancos Grandes Katayama  Caixa com 15 dúzias - Mais de 2 unidades","247542, 247543"
Lanches,Ovos,"Ovos Brancos Grande Mantiqueira  Cinta com 5 dúzias - Unidade, Ovos Brancos Grande  Cinta com 5 dúzias - Unidade",94250
Lanches,Ovos,"Ovos Brancos Grandes Katayama  Cinta com 5 dúzias - Unidade, Ovos Brancos Grandes Katayama  Cinta com 5 dúzias - Mais de 5 unidades","247539, 247540"
Lanches,Ovos,"Ovos Brancos Grandes Shinoda  Cinta com 5 dúzias - Unidade, Ovos Brancos Grandes Shinoda  Cinta com 5 dúzias - Mais de 5 unidades","198495, 198505"
Lanches,Papéis,"Guardanapo folha dupla Elite 50 unids 23,5 x 24cm  Pacote - Mais de 6 pacotes, Guardanapo folha dupla Elite 50 unids 23,5 x 24cm  Pacote - Pacote","240437, 240438"
Lanches,Papéis,"Guardanapo folha simples Elite 300 folhas  Pacote - Pacote, Guardanapo folha simples Elite 300 folhas  Pacote com 300 folhas - Mais de 3 pacotes","240450, 240449"
Lanches,Papéis,"Guardanapo folha simples Kitchen 50 unids 22.7 x 22.8cm  Pacote com 50 folhas - Pacote, Guardanapo folha simples Kitchen 50 unids 22.7 x 22.8cm  Pacote - Mais de 6 pacotes","240444, 240443"
Lanches,Papéis,"Papel toalha Kitchen Jumbo leve 240. pague 220 folhas  Pacote com 2 rolos - Mais de 3 pacotes, Papel toalha Kitchen Jumbo leve 240. pague 220 folhas  Pacote com 2 rolos - Pacote","240518, 240517"
Lanches,Queijos,"Queijo Prato 2.8kg - Scala  Peça de 2.8kg - 1 peça, Queijo Prato 2.8kg - Scala  Peça de 2.8kg - Mais de 3 peças","209349, 209350"
Lanches,Queijos,"Queijo Prato 2.91Kg - Frimesa  Peça de 2.91kg - 1 peça, Queijo Prato 2.91Kg - Frimesa  Peça de 2.91kg - Mais de 6 peças, Queijo Prato 2.91Kg - Frimesa  Peça de 2.91kg - Mais de 3 peças","180660, 180662, 180661"
Lanches,Queijos,"Queijo Prato 3.3kg - Três Marias  Resfriado - Peça de 3.3kg - Mais de 6 peças (19.8kg), Queijo Prato 3.3kg - Três Marias  Resfriado - Peça de 3.3kg - A partir de 1 peça (3.3kg), Queijo Prato 3.3kg - Três Marias  Resfriado - Peça de 3.3kg - Mais de 3 peças (9.9kg)","260925, 260926, 260927"
Lanches,Queijos,"Queijo Prato Fatiado 1kg - Goiabal  Resfriado - Pacote de 1kg (40 fatias de 25g aprox.) - Mais de 3 pacotes, Queijo Prato Fatiado 1kg - Goiabal  Resfriado - Pacote de 1kg (40 fatias de 25g aprox.) - A partir de 1 pacote, Queijo Prato Fatiado 1kg - Goiabal  Resfriado - Pacote de 1kg (40 fatias de 25g aprox.) - Mais de 6 pacotes","284526, 284525, 284527"
Lanches,Queijos,Queijo tipo Provolone Defumado 4.5kg - Scala  Peça de 4.5kg - 1 peça,209353
Lanches,Queijos,"Requeijão Cremoso sabor Cheddar 1.8kg - Scala  Bisnaga de 1.8kg - 1 bisnaga, Requeijão Cremoso sabor Cheddar 1.8kg - Scala  Bisnaga de 1.8kg - Mais de 6 bisnagas, Requeijão Cremoso sabor Cheddar 1.8kg - Scala  Bisnaga de 1.8kg - Mais de 3 bisnagas","192793, 192794, 192795"
Lanches,Queijos,"Requeijão Cremoso Sabor Cheddar 1kg - Catupiry  Resfriado - Bisnaga de 1.010kg - Mais de 3 bisnagas, Requeijão Cremoso Sabor Cheddar 1kg - Catupiry  Resfriado - Bisnaga de 1.010kg - A partir de 1 bisnaga, Requeijão Cremoso Sabor Cheddar 1kg - Catupiry  Resfriado - Bisnaga de 1.010kg - Mais de 6 bisnagas","243643, 243644, 243645"
Lanches,Refrigerante,"Coca-Cola 350ml  Lata de 350ml - Mais de 72 unidades, Coca-Cola 350ml  Lata de 350ml - A partir de 12 unidades, Coca-Cola 350ml  Lata de 350ml - A partir de 36 unidades","246588, 244764, 244765, 277873"
Lanches,Refrigerante,"Coca-Cola Zero 350ml  Lata de 350ml - A partir de 12 unidades, Coca-Cola Zero 350ml  Lata de 350ml - A partir de 36 unidades, Coca-Cola Zero 350ml  Lata de 350ml - Mais de 72 unidades","246589, 244773, 244774"
Lanches,Refrigerante,"Fanta 350ml  Lata de 350ml - A partir de 12 unidades, Fanta 350ml  Lata de 350ml - A partir de 36 unidades","244801, 244802"
Lanches,Refrigerante,"Fanta Guarana 350ml  Lata de 350ml - A partir de 18 unidades, Fanta Guarana 350ml  Lata de 350ml - A partir de 6 unidades","244798, 244799"
Lanches,Refrigerante,"Sprite 350ml  Lata de 350ml - A partir de 18 unidades, Sprite 350ml  Lata de 350ml - A partir de 6 unidades","244565, 244566"
Lanches,Suco,"Del Valle Maracujá  Lata de 290ml - A partir de 6 unidades, Del Valle Maracujá  Lata de 290ml - A partir de 18 unidades","244782, 244783"
Lanches,Suco,"Del Valle Uva  Lata de 290ml - A partir de 6 unidades, Del Valle Uva  Lata de 290ml - A partir de 18 unidades","244789, 244790"
