20220420_BHZ_NB_frango_W16,20220420_BHZ_NB_suinos_W16,20220420_BHZ_NB_embutidos_W16,20220420_BHZ_NB_carnevermelha_W16,20220420_BHZ_NB_peixesefrutosdomar_W16
,89141216.0,129171442.0,142382064.0,89141216.0
,143591395.0,145222645.0,143648753.0,143591395.0
,130348004.0,141613046.0,129171442.0,145355748.0
,145355748.0,91474939.0,145222645.0,139163624.0
,139163624.0,,141613046.0,145196009.0
,145196009.0,,91474939.0,142382064.0
,142382064.0,,,143648753.0
,143648753.0,,,129171442.0
,129171442.0,,,145222645.0
,145222645.0,,,141613046.0
,141613046.0,,,91474939.0
,91474939.0,,,
